House area,Storeys,Yard Area,Water supply,Electricity,House Material,House Condition,Number of Bedrooms,Land Category,Ground Status,Bathroom,Sewerage,Heating,Gas,Cellar,Terrace,Garage,Bath,Security,Swimming pool,Year Built,Class,Price
115.0,3.0,6.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,3800000.0
280.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,25000000.0
180.0,2.0,6.0,Central,Yes,Gas concrete block,Not specified,3.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,27500000.0
400.0,3.0,25.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2015.0,Other,37000000.0
360.0,2.0,4.17,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Elite,85000000.0
305.0,,6.6,No,Yes,Other,Not specified,,Lands of populated areas,Individual housing construction,Not specified,No,No,Magistralny along the border,0.0,0.0,0.0,0.0,0.0,0.0,,Other,25000000.0
250.0,2.0,12.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,40000000.0
206.3,3.0,1.0,Yes,Yes,Other,Not specified,3.0,Not specified,Individual housing construction,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,Other,32000000.0
190.0,2.0,6.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,0.0,1.0,1.0,1.0,,Other,23500000.0
350.0,3.0,5.5,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,78000000.0
150.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2018.0,Other,15000000.0
600.0,4.0,12.0,Central,Yes,Monolithic,Not specified,8.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,1.0,1.0,1.0,,Other,32000000.0
270.0,3.0,6.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,148500000.0
370.0,3.0,11.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,35000000.0
300.0,2.0,13.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,21500000.0
500.0,3.0,10.0,Central,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,20000000.0
130.0,3.0,3.5,Central,Yes,Monolithic,Needs repairs,3.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,Other,33000000.0
260.0,2.0,7.0,No,Yes,Monolithic,Needs repairs,,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,1.0,2022.0,Other,19800000.0
240.0,2.0,15.0,Central,Yes,Monolithic,Can live,6.0,Lands of populated areas,Individual housing construction,6 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,15000000.0
90.0,2.0,7.1,Well,Yes,Block,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,0.0,,Other,25000000.0
